external_gene_name	pathway
IFNLR1	jak-stat
OSMR	jak-stat
LIFR	jak-stat
CRLF2	jak-stat
CNTFR	jak-stat
CSF2RA	jak-stat
CSF2RB	jak-stat
CSF3R	jak-stat
EPOR	jak-stat
GHR	jak-stat
LEPR	jak-stat
MPL	jak-stat
PRLR	jak-stat
EGFR	jak-stat
PDGFRA	jak-stat
PDGFRB	jak-stat
JAK1	jak-stat
JAK2	jak-stat
JAK3	jak-stat
TYK2	jak-stat
STAT1	jak-stat
STAT2	jak-stat
STAT3	jak-stat
STAT4	jak-stat
STAT5A	jak-stat
STAT5B	jak-stat
STAT6	jak-stat
CISH	jak-stat
SOCS1	jak-stat
SOCS2	jak-stat
SOCS3	jak-stat
SOCS4	jak-stat
SOCS5	jak-stat
SOCS7	jak-stat
SOCS6	jak-stat
BCL2	jak-stat
MCL1	jak-stat
BCL2L1	jak-stat
PIM1	jak-stat
MYC	jak-stat
CCND1	jak-stat
CCND2	jak-stat
CCND3	jak-stat
CDKN1A	jak-stat
AOX1	jak-stat
GFAP	jak-stat
STAM2	jak-stat
STAM	jak-stat
PTPN2	jak-stat
PTPN6	jak-stat
IRF9	jak-stat
CREBBP	jak-stat
EP300	jak-stat
PIAS1	jak-stat
PIAS2	jak-stat
PIAS3	jak-stat
PIAS4	jak-stat
FHL1	jak-stat
PTPN11	jak-stat
GRB2	jak-stat
SOS1	jak-stat
SOS2	jak-stat
HRAS	jak-stat
RAF1	jak-stat
PIK3CA	jak-stat
PIK3CD	jak-stat
PIK3CB	jak-stat
PIK3R1	jak-stat
PIK3R2	jak-stat
PIK3R3	jak-stat
AKT1	jak-stat
AKT2	jak-stat
AKT3	jak-stat
MTOR	jak-stat
CACNA1A	mapk
CACNA1B	mapk
CACNA1C	mapk
CACNA1D	mapk
CACNA1E	mapk
CACNA1F	mapk
CACNA1G	mapk
CACNA1H	mapk
CACNA1I	mapk
CACNA1S	mapk
CACNA2D1	mapk
CACNA2D2	mapk
CACNA2D3	mapk
CACNA2D4	mapk
CACNB1	mapk
CACNB2	mapk
CACNB3	mapk
CACNB4	mapk
CACNG1	mapk
CACNG2	mapk
CACNG3	mapk
CACNG4	mapk
CACNG5	mapk
CACNG6	mapk
CACNG7	mapk
CACNG8	mapk
PRKACA	mapk
PRKACB	mapk
PRKACG	mapk
PRKCA	mapk
PRKCB	mapk
PRKCG	mapk
GNA12	mapk
GNG12	mapk
PPP3CA	mapk
PPP3CB	mapk
PPP3CC	mapk
PPP3R1	mapk
PPP3R2	mapk
RASGRF1	mapk
RASGRF2	mapk
RASGRP1	mapk
RASGRP2	mapk
RASGRP3	mapk
RASGRP4	mapk
RAPGEF2	mapk
NF1	mapk
RASA1	mapk
RASA2	mapk
RAP1A	mapk
RAP1B	mapk
EGF	mapk
TGFA	mapk
EREG	mapk
AREG	mapk
FGF1	mapk
FGF2	mapk
FGF3	mapk
FGF4	mapk
FGF17	mapk
FGF6	mapk
FGF7	mapk
FGF8	mapk
FGF9	mapk
FGF10	mapk
FGF16	mapk
FGF5	mapk
FGF18	mapk
FGF20	mapk
FGF22	mapk
FGF19	mapk
FGF21	mapk
FGF23	mapk
NGF	mapk
BDNF	mapk
NTF3	mapk
NTF4	mapk
INS	mapk
IGF1	mapk
IGF2	mapk
PDGFA	mapk
PDGFB	mapk
PDGFC	mapk
PDGFD	mapk
CSF1	mapk
KITLG	mapk
FLT3LG	mapk
VEGFA	mapk
VEGFB	mapk
PGF	mapk
VEGFC	mapk
VEGFD	mapk
HGF	mapk
ANGPT1	mapk
ANGPT2	mapk
ANGPT4	mapk
EFNA1	mapk
EFNA2	mapk
EFNA3	mapk
EFNA4	mapk
EFNA5	mapk
EGFR	mapk
ERBB2	mapk
ERBB3	mapk
ERBB4	mapk
FGFR1	mapk
FGFR2	mapk
FGFR3	mapk
FGFR4	mapk
NGFR	mapk
NTRK1	mapk
NTRK2	mapk
INSR	mapk
IGF1R	mapk
PDGFRA	mapk
PDGFRB	mapk
CSF1R	mapk
KIT	mapk
FLT3	mapk
FLT1	mapk
FLT4	mapk
KDR	mapk
MET	mapk
TEK	mapk
EPHA2	mapk
GRB2	mapk
SOS1	mapk
SOS2	mapk
HRAS	mapk
KRAS	mapk
NRAS	mapk
RRAS	mapk
RRAS2	mapk
MRAS	mapk
ARAF	mapk
BRAF	mapk
RAF1	mapk
MAP2K1	mapk
MAP2K2	mapk
LAMTOR3	mapk
MAPK1	mapk
MAPK3	mapk
MKNK1	mapk
MKNK2	mapk
RPS6KA3	mapk
RPS6KA1	mapk
RPS6KA2	mapk
RPS6KA6	mapk
ATF4	mapk
ELK1	mapk
ELK4	mapk
MYC	mapk
SRF	mapk
FOS	mapk
MAPT	mapk
STMN1	mapk
PLA2G4E	mapk
PLA2G4A	mapk
JMJD7-PLA2G4B	mapk
PLA2G4B	mapk
PLA2G4C	mapk
PLA2G4D	mapk
PLA2G4F	mapk
TNF	mapk
IL1A	mapk
IL1B	mapk
TGFB1	mapk
TGFB2	mapk
TGFB3	mapk
TNFRSF1A	mapk
IL1R1	mapk
IL1RAP	mapk
TGFBR1	mapk
TGFBR2	mapk
FASLG	mapk
FAS	mapk
CD14	mapk
RAC1	mapk
RAC2	mapk
RAC3	mapk
CDC42	mapk
TRADD	mapk
CASP3	mapk
TRAF2	mapk
DAXX	mapk
MYD88	mapk
IRAK1	mapk
IRAK4	mapk
TRAF6	mapk
GADD45A	mapk
GADD45B	mapk
GADD45G	mapk
TAB1	mapk
TAB2	mapk
ECSIT	mapk
MAP4K3	mapk
MAP4K4	mapk
MAP4K1	mapk
PAK1	mapk
PAK2	mapk
STK4	mapk
STK3	mapk
MAP4K2	mapk
MAP3K8	mapk
MAP3K1	mapk
MAP3K11	mapk
MAP3K2	mapk
MAP3K3	mapk
MAP3K13	mapk
MAP3K12	mapk
MAP3K20	mapk
MAP3K6	mapk
MAP3K5	mapk
MAP3K7	mapk
MAP3K4	mapk
TAOK2	mapk
TAOK3	mapk
TAOK1	mapk
MAP2K4	mapk
MAP2K7	mapk
MAP2K3	mapk
MAP2K6	mapk
MAPK8IP1	mapk
MAPK8IP2	mapk
MAPK8IP3	mapk
FLNA	mapk
FLNC	mapk
FLNB	mapk
CRK	mapk
CRKL	mapk
ARRB1	mapk
ARRB2	mapk
MAPK8	mapk
MAPK10	mapk
MAPK9	mapk
MAPK11	mapk
MAPK12	mapk
MAPK13	mapk
MAPK14	mapk
MAPKAPK5	mapk
MAPKAPK2	mapk
MAPKAPK3	mapk
RPS6KA5	mapk
RPS6KA4	mapk
CDC25B	mapk
NFATC1	mapk
NFATC3	mapk
JUN	mapk
JUND	mapk
ATF2	mapk
TP53	mapk
DDIT3	mapk
MAX	mapk
MEF2C	mapk
HSPB1	mapk
AKT1	mapk
AKT2	mapk
AKT3	mapk
PPM1A	mapk
PTPRR	mapk
PTPN5	mapk
PTPN7	mapk
DUSP1	mapk
DUSP4	mapk
DUSP2	mapk
DUSP7	mapk
DUSP8	mapk
DUSP5	mapk
DUSP16	mapk
DUSP6	mapk
DUSP9	mapk
DUSP10	mapk
DUSP3	mapk
PPP5C	mapk
PPM1B	mapk
HSPA8	mapk
HSPA1A	mapk
HSPA2	mapk
HSPA1L	mapk
HSPA1B	mapk
HSPA6	mapk
MECOM	mapk
MAP2K5	mapk
MAPK7	mapk
NR4A1	mapk
MAP3K14	mapk
CHUK	mapk
IKBKB	mapk
IKBKG	mapk
NLK	mapk
NFKB1	mapk
NFKB2	mapk
RELA	mapk
RELB	mapk
SLC7A5	mtor
SLC3A2	mtor
SLC38A9	mtor
ATP6V1A	mtor
ATP6V1B1	mtor
ATP6V1B2	mtor
ATP6V1C2	mtor
ATP6V1C1	mtor
ATP6V1D	mtor
ATP6V1E2	mtor
ATP6V1E1	mtor
ATP6V1F	mtor
ATP6V1G1	mtor
ATP6V1G3	mtor
ATP6V1G2	mtor
ATP6V1H	mtor
LAMTOR1	mtor
LAMTOR2	mtor
LAMTOR3	mtor
LAMTOR4	mtor
LAMTOR5	mtor
FLCN	mtor
FNIP1	mtor
FNIP2	mtor
RRAGA	mtor
RRAGB	mtor
RRAGC	mtor
RRAGD	mtor
SESN2	mtor
CASTOR1	mtor
CASTOR2	mtor
MIOS	mtor
SEH1L	mtor
WDR24	mtor
WDR59	mtor
SEC13	mtor
DEPDC5	mtor
NPRL2	mtor
NPRL3	mtor
SKP2	mtor
RNF152	mtor
RPTOR	mtor
AKT1S1	mtor
MTOR	mtor
DEPTOR	mtor
MLST8	mtor
TELO2	mtor
TTI1	mtor
CLIP1	mtor
GRB10	mtor
LPIN1	mtor
LPIN3	mtor
LPIN2	mtor
ULK1	mtor
ULK2	mtor
EIF4EBP1	mtor
EIF4E	mtor
EIF4E2	mtor
EIF4E1B	mtor
RPS6KB1	mtor
RPS6KB2	mtor
EIF4B	mtor
RPS6	mtor
STRADA	mtor
STRADB	mtor
STK11	mtor
CAB39	mtor
CAB39L	mtor
PRKAA1	mtor
PRKAA2	mtor
TSC1	mtor
TSC2	mtor
TBC1D7	mtor
RHEB	mtor
DDIT4	mtor
WNT1	mtor
WNT2	mtor
WNT2B	mtor
WNT3	mtor
WNT3A	mtor
WNT4	mtor
WNT5A	mtor
WNT5B	mtor
WNT6	mtor
WNT7A	mtor
WNT7B	mtor
WNT8A	mtor
WNT8B	mtor
WNT9A	mtor
WNT9B	mtor
WNT10B	mtor
WNT10A	mtor
WNT11	mtor
WNT16	mtor
FZD1	mtor
FZD7	mtor
FZD2	mtor
FZD3	mtor
FZD4	mtor
FZD5	mtor
FZD8	mtor
FZD6	mtor
FZD10	mtor
FZD9	mtor
LRP5	mtor
LRP6	mtor
DVL3	mtor
DVL2	mtor
DVL1	mtor
GSK3B	mtor
TNF	mtor
TNFRSF1A	mtor
IKBKB	mtor
INS	mtor
IGF1	mtor
INSR	mtor
IGF1R	mtor
GRB2	mtor
SOS1	mtor
SOS2	mtor
HRAS	mtor
KRAS	mtor
NRAS	mtor
BRAF	mtor
RAF1	mtor
MAP2K1	mtor
MAP2K2	mtor
MAPK1	mtor
MAPK3	mtor
RPS6KA3	mtor
RPS6KA1	mtor
RPS6KA2	mtor
RPS6KA6	mtor
IRS1	mtor
PIK3R1	mtor
PIK3R2	mtor
PIK3R3	mtor
PIK3CA	mtor
PIK3CD	mtor
PIK3CB	mtor
PTEN	mtor
PDPK1	mtor
AKT1	mtor
AKT2	mtor
AKT3	mtor
CHUK	mtor
MAPKAP1	mtor
RICTOR	mtor
PRR5	mtor
PRR5L	mtor
RHOA	mtor
PRKCA	mtor
PRKCB	mtor
PRKCG	mtor
SGK1	mtor
LCK	nfkb
ZAP70	nfkb
LAT	nfkb
PLCG1	nfkb
PRKCQ	nfkb
IGH	nfkb
SYK	nfkb
LYN	nfkb
BLNK	nfkb
BTK	nfkb
PLCG2	nfkb
PRKCB	nfkb
CARD10	nfkb
CARD11	nfkb
CARD14	nfkb
BCL10	nfkb
MALT1	nfkb
IL1B	nfkb
IL1R1	nfkb
MYD88	nfkb
IRAK1	nfkb
IRAK4	nfkb
TRAF6	nfkb
TNF	nfkb
TNFRSF1A	nfkb
RIPK1	nfkb
TRADD	nfkb
TRAF2	nfkb
TRAF5	nfkb
BIRC2	nfkb
BIRC3	nfkb
EDA	nfkb
EDAR	nfkb
EDARADD	nfkb
CYLD	nfkb
EDA2R	nfkb
DDX58	nfkb
TRIM25	nfkb
LBP	nfkb
CD14	nfkb
TLR4	nfkb
LY96	nfkb
TIRAP	nfkb
TICAM2	nfkb
TICAM1	nfkb
CD40LG	nfkb
CD40	nfkb
TRAF3	nfkb
TNFSF11	nfkb
TNFRSF11A	nfkb
LTA	nfkb
LTB	nfkb
TNFSF14	nfkb
LTBR	nfkb
MAP3K14	nfkb
MAP3K7	nfkb
TAB1	nfkb
TAB2	nfkb
TAB3	nfkb
TNFSF13B	nfkb
TNFRSF13C	nfkb
IKBKG	nfkb
CHUK	nfkb
IKBKB	nfkb
PARP1	nfkb
PIAS4	nfkb
UBE2I	nfkb
ATM	nfkb
PIDD1	nfkb
ERC1	nfkb
NFKBIA	nfkb
NFKB1	nfkb
RELA	nfkb
CFLAR	nfkb
XIAP	nfkb
BCL2L1	nfkb
BCL2	nfkb
GADD45A	nfkb
